,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W070090,2025-10-28,PH1,crack,Not Stated,White,Solid,Smoked,"Chest Pains, Irregular Heartbeat",Cocaine,,56.43174736842105,-3.4980552631578945
W070147,2025-10-28,RG12,COCAINE ,GOAT,"White, White",Powder,Snort / Sniff,"Increased Energy, Increased Confidence, Increased Libido, Increased Stamina, Enhanced Senses, Empathy, Insomnia",Cocaine,Benzoylecgonine,51.4007,-0.7635
W070211,2025-10-28,SE10,COCAINE,COCAINE,White,Powder,Snort / Sniff,"Euphoria, Increased Energy, Increased Confidence","Cocaine, Levamisole",Benzoylecgonine,51.4779,-0.0118
000237872,2025-10-28,CF10,COCAINE,COCAINE,White,Powder,Snort / Sniff,"No Effect, Nausea, Vomiting, Memory Loss, Violence/Aggression, Insomnia, Depression",Cocaine,Benzoylecgonine,51.48,-3.18
W070193,2025-10-28,CF44,CRACK COCAINE,Not Stated,White,Granules,Smoked,"Increased Energy, Increased Confidence","Cocaine, Benzoylecgonine",Ecgonine methyl ester,51.7327125,-3.48293125
W070242,2025-10-28,G320,COCAINE,Not Stated,White,Powder,Snort / Sniff,"Euphoria, Increased Energy, Increased Confidence, Increased Libido, Chest Pains, Irregular Heartbeat, Agitation",Cocaine,Benzoylecgonine,55.85,-4.1833
W070160,2025-10-28,PH22,COCAINE,Not Stated,White,Granules,Not Stated,Not Stated,Cocaine,,57.190822222222224,-3.818822222222222
W069916,2025-10-28,LD15,COCAINE,COCAINE,Yellow,Powder,Snort / Sniff,Increased Energy,Cocaine,,52.2618,-3.3257903225806453
W069912,2025-10-28,CM77,Cocaine,Airmax,White,Powder,Not Stated,Not Stated,Cocaine,Levamisole,51.8782,0.5529
W070000,2025-10-28,LD1,COCAINE,Not Stated,White,Granules,Snort / Sniff,"Increased Confidence, Enhanced Senses, Relaxed, Insomnia",Cocaine,,52.2618,-3.3257903225806453
W070003,2025-10-28,HP23,Cocaine,Not Stated,White,Powder,Not Stated,Not Stated,Cocaine,,51.79858333333333,-0.6616
W070004,2025-10-28,HP23,Cocaine,Not Stated,White,Powder,Not Stated,Not Stated,Cocaine,,51.79858333333333,-0.6616
W070116,2025-10-28,HP23,COcaine,Not Stated,White,Powder,Not Stated,Not Stated,Cocaine,,51.79858333333333,-0.6616
W070005,2025-10-28,HP23,Cocaine,Not Stated,White,Powder,Not Stated,Not Stated,Cocaine,,51.79858333333333,-0.6616
W070043,2025-10-28,G12,Cocaine,Mixed,White,Powder,Not Stated,Not Stated,Cocaine,,55.8804,-4.3007
