,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W072495,2026-01-04,B240,Clonazepam 2mg,Clonazepam,White,Tablet,Not Stated,Not Stated,Clonazepam,,52.526349999999994,-1.809
W072431,2026-01-04,NN56,Diazepam ,accord diazepam 5mg,Yellow,Tablet,Oral,"Euphoria, Increased Energy, Increased Confidence, Relaxed",Diazepam,,52.242575,-0.93795
W072470,2026-01-05,S40,DIAZEPAM 10MG,DIAZEPAM 10MG (BENSEDIN),White,Tablet,Not Stated,Not Stated,Ethylbromazolam,,53.234,-1.4462
W072479,2026-01-05,SE17,VALIUM,VALIUM,"White, Blue",Liquid,Not Stated,Not Stated,Diazepam,,51.48563333333333,-0.1028333333333333
W072454,2026-01-05,GU15,alprazolam ,alprex 1mg,White,Tablet,Not Stated,Not Stated,Alprazolam,,51.337,-0.7426
W072432,2026-01-05,N67,TRMAZEPAM,REMESTAN,Colourless,Capsule,Not Stated,Not Stated,Temazepam,,,
W072471,2026-01-05,S40,diazepam 10mg,diazepam 10mg (bensedin),White,Tablet,Not Stated,Not Stated,Ethylbromazolam,,53.234,-1.4462
W072491,2026-01-05,SE1,DIAZEPAM,DIAZEPAM,White,Tablet,Not Stated,Not Stated,Diazepam,,51.49874615384616,-0.0930384615384615
W072489,2026-01-05,DL2,xanax,xanax 1mg (alprx-1),White,Tablet,Oral,No Effect,Alprazolam,,54.53115,-1.624575
W072478,2026-01-05,S427,DIAZEPAM,BENSEDIN DIAZEPAM 10MG,White,Tablet,Not Stated,Not Stated,Diazepam,,53.21066,-1.4471733333333332
W072427,2026-01-05,G63,HEROIN,T3-TRILOGY #3 CREAM,"Brown, Brown",Powder,Not Stated,Not Stated,"Heroin, Noscapine, 6-MAM, Diazepam, 6-Acetylcodeine","Phenacetin, Papaverine, Morphine",56.03654399999999,-4.3500119999999995
100004525,2026-01-05,EX32,DIAZEPAM 10MG,BENSEDIN 10MG (DIAZEPAM),White,Tablet,Not Stated,"Empathy, Relaxed",Diazepam,,51.07364,-3.97823
W072428,2026-01-05,G63,ALPRAZOLAM (XANAX-4MG),4MG XANAX,White,Tablet,Not Stated,Not Stated,Ethylbromazolam,,56.03654399999999,-4.3500119999999995
W072433,2026-01-05,N67,TENAZEPAM,TEMAZAP-CT,"Colourless, White",Capsule,Not Stated,Not Stated,Temazepam,,,
W072459,2026-01-06,N128,alprazolam (xanax),Alprazolam,White,Tablet,Oral,"Increased Confidence, Relaxed, Memory Loss, Agitation",Tramadol,,51.6077,-0.166
W072547,2026-01-06,M14,Clonazepam,Elikem nozim,Blue,Tablet,Not Stated,Not Stated,Clonazepam,,53.4482,-2.2257
W072504,2026-01-06,B9,Diazepam,Diazepam bensedin 10mg,White,Tablet,Not Stated,Not Stated,Diazepam,,52.4783,-1.8506
W072494,2026-01-06,B240,Clonazepam 2mg,Clonazepm 2mg alison,White,Tablet,Not Stated,Not Stated,Clonazepam,,52.526349999999994,-1.809
W072496,2026-01-06,B240,Clonazepam 2mg,clonazepam neuraexppharm 2mg,White,Tablet,Not Stated,Not Stated,Clonazepam,,52.526349999999994,-1.809
W072548,2026-01-06,M14,Diazepam ,martin dow valium,Blue,Tablet,Not Stated,Not Stated,Diazepam,,53.4482,-2.2257
W072503,2026-01-06,B9,Diazepam ,Diazepam elioam 10mg,White,Tablet,Not Stated,Not Stated,Diazepam,,52.4783,-1.8506
W072546,2026-01-06,M14,clonazepam,Neurazpharm,White,Tablet,Not Stated,Not Stated,Clonazepam,,53.4482,-2.2257
