,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W076078,01/05/2026,KY7,Valium,Not stated,White,Tablet,Oral,"Euphoria, Increased energy, Increased confidence, Increased senses, Relaxed, Memory loss",Clonazolam,,56.19679,-3.1358
000234328,01/05/2026,CF11,Lorazepam,Neuroxpharm,White,Tablet,Oral,"Euphoria, Increased confidence, Relaxed, Vomiting, Memory loss, Confusion, Suicidal ideation",Lorazepam,,51.48,-3.18
W100151,01/05/2026,BS8,Lorazepam,lorazepam,White,Tablet,Oral,"Not stated,  ",Lorazepam,,51.450199999999995,-2.65032
W100098,30/04/2026,LL49,Diazepam,martin dow,Blue,Tablet,Oral,"Not stated,  ",Diazepam,,52.942910000000005,-4.16
W100026,30/04/2026,PA23,valium 10mg,Diazepam 10mg bensidine,White,Tablet,Oral,"Relaxed, Chest pains",Diazepam,,55.988997142857144,-4.98592
W075754,30/04/2026,NE29,Alprazolam,Alprax-2-xr Alprazolam 2mg Opsogn pharmacuticals,Yellow,Tablet,Not stated,"Not stated,  ",Alprazolam,,55.0165,-1.4493
W100126,30/04/2026,W68,DIAZEPAM,CRESCENT DIAZEPAM 10MG A/278,Blue,Tablet,Not stated,"Not stated,  ",Diazepam,,,
W100197,30/04/2026,ST10,ROCHE VALIUM,DIAZEPAM,Blue,Tablet,Not stated,"Not stated,  ",Diazepam,,52.994534615384616,-1.9419576923076924
W100097,30/04/2026,SE9,DIAZEPAM 5MG,DIAZEPAM 5MG,Yellow,Tablet,Not stated,"Not stated,  ",Diazepam,,51.44698000000001,0.0542799999999999
W076067,30/04/2026,OX49,VALIUM,VALIUM,Blue,Tablet,Not stated,"Not stated,  ",Diazepam,,51.6433,-1.0045
W100095,30/04/2026,SE9,DIAZEPAM 5MG,DIAZEPAM 5MG,Yellow,Tablet,Not stated,"Not stated,  ",Diazepam,,51.44698000000001,0.0542799999999999
W100198,30/04/2026,ST10,NOZIM CLONAZEPAM,2MG CLONAZEPAM,Blue,Tablet,Not stated,"Not stated,  ",Clonazepam,,52.994534615384616,-1.9419576923076924
W100140,30/04/2026,SY4,ALPRAZOLAM,Not stated,Blue,Tablet,Not stated,"Not stated,  ",Alprazolam,,52.7651,-2.7190144927536233
W100142,30/04/2026,SY4,ALPRAZOLAM,Not stated,Blue,Tablet,Not stated,"Not stated,  ",Alprazolam,,52.7651,-2.7190144927536233
W100159,30/04/2026,SY4,DIAZEPAM,DIAZEPAM - ROCHE 10MG,Blue,Tablet,Not stated,"Not stated,  ",Diazepam,,52.7651,-2.7190144927536233
W100153,30/04/2026,SY4,ALPRAZOLAM,Not stated,Blue,Tablet,Not stated,"Not stated,  ",Alprazolam,,52.7651,-2.7190144927536233
W100165,30/04/2026,SY4,DIAZEPAM,DIAZEPAM - ROCHE 10MG,Blue,Tablet,Not stated,"Not stated,  ",Diazepam,,52.7651,-2.7190144927536233
W100156,30/04/2026,SY4,DIAZEPAM,DIAZEPAM - ROCHE 10MG,Blue,Tablet,Not stated,"Not stated,  ",Diazepam,,52.7651,-2.7190144927536233
000236133,30/04/2026,CF63,DIAZEPAM 10MG,DIAZEPAM 10MG,Yellow,Tablet,Not stated,"Not stated,  ",Diazepam,,51.4172,-3.2614
000237208,30/04/2026,CF36,valium,Msj,Blue,Tablet,Not stated,"Not stated,  ",Ethylbromazolam,,51.48453333333333,-3.6951
W100064,30/04/2026,M25,10MG DIAZEPAM TABLETS,10MG DIAZEPAM TABLETS,Blue,Tablet,Oral,"Increased energy, Increased confidence, Increased senses, Empathy",Diazepam,,53.5333,-2.2833
W100166,30/04/2026,BD19,ALPRAZOLAM,ALPRAZOLAM,White,Tablet,Not stated,"Not stated,  ",Alprazolam,,53.72745,-1.70145
W100180,30/04/2026,SE1,DIAZEPAM,BENSEDIN BRAND DIAZEPAM,White,Tablet,Oral,"Euphoria, Increased confidence, Relaxed",Ethylbromazolam,,51.49874615384616,-0.0930384615384615
W100171,30/04/2026,SW9,ALPRAZOLAM,SUBZENTUS LABOTORIES - ALPZAR 1MG ALPRAZOLAM,Colourless,Tablet,Not stated,"Not stated,  ",Chlorpheniramine,,51.474,-0.1168
W100144,30/04/2026,SY4,LORAZEPAM,Not stated,Blue,Tablet,Not stated,"Not stated,  ",Lorazepam,,52.7651,-2.7190144927536233
W100146,30/04/2026,SY4,LORAZEPAM,Not stated,Blue,Tablet,Not stated,"Not stated,  ","Diazepam, Lorazepam",,52.7651,-2.7190144927536233
