,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W067600,07 Aug 2025,NE16,Xanax Alprazolam,Not Stated,Yellow,Tablet,Not Stated,Not Stated,"Etizolam, Alprazolam",,54.930483333333335,-1.69105
W067580,07 Aug 2025,RM13,Diazepam,Accord Diazepam,Yellow,Tablet,Not Stated,Not Stated,Diazepam,,51.5223,0.1936999999999999
W067579,07 Aug 2025,RM13,Clonazepam,galenika Rivotril Klonazepam,White,Tablet,Not Stated,Not Stated,Ethylbromazolam,,51.5223,0.1936999999999999
000233071,05 Aug 2025,PH1,valium,Accord valium,Blue,Tablet,Oral,"Empathy, Relaxed",Diazepam,,56.43174736842105,-3.4980552631578945
W067388,05 Aug 2025,TR13,10mg Diazepam,Diazepam 10mg,White,Tablet,Oral,"Increased Energy, Increased Confidence, Increased Stamina, Relaxed",Diazepam,,50.11412307692308,-5.283953846153846
W067521,05 Aug 2025,PL22,Diazepam,Diazepam,Blue,Tablet,Not Stated,"Relaxed, Depression",Ethylbromazolam,,50.39221111111111,-4.640277777777778
W067574,05 Aug 2025,BS3,Etizolam,Not Stated,Pink,Tablet,Not Stated,Not Stated,Clobromazolam,,51.4552,-2.5966
W067546,05 Aug 2025,SR20,Diazepam,bensedin galenika Diazepam,White,Tablet,Not Stated,Not Stated,Bromazolam,,54.8792,-1.37365
W067439,05 Aug 2025,EC1,Xanax,Xanax 2,White,Tablet,Oral,Memory Loss,Caffeine,Clobromazolam,51.52320909090909,-0.1055181818181818
W067484,05 Aug 2025,NW1,Diazepam,Diazepam,Blue,Tablet,Oral,Relaxed,Diazepam,,51.52988181818182,-0.1471818181818182
W067525,05 Aug 2025,E2,Valium,Diazepam,,,Not Stated,Not Stated,Diazepam,,51.5386,-0.055525
W067216,05 Aug 2025,KT4,Diazepam,Galenika Bensedin 10mg,White,Tablet,Not Stated,Not Stated,Bromazolam,,51.38995,-0.2472
W067530,05 Aug 2025,NE35,Valium,Bensedin 10mg,White,Tablet,Not Stated,Not Stated,Diazepam,,54.9503,-1.469
W067531,05 Aug 2025,NE35,Ketamine,Not Stated,White,Powder,Not Stated,Not Stated,Diazepam,,54.9503,-1.469
W067425,05 Aug 2025,CF62,Diazepam,Diazepam,Pink,Tablet,Oral,Relaxed,Diazepam,,51.4027,-3.37145
W067536,05 Aug 2025,LS2,Alprazolam 1mg,Galenika Alprazolam 1mg,Blue,Tablet,Not Stated,Not Stated,Bromazolam,Rilmazafone,53.7965,-1.5478
W067487,05 Aug 2025,BT61,Diazepam,Diazepam,Blue,Tablet,Not Stated,Not Stated,"MDMA, Ethylbromazolam",,54.3889,-6.605583333333333
