,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W073371,2026-02-03,NW8,mushrooms,Not Stated,Brown,Capsule,Oral,"Euphoria, Enhanced Senses, Empathy, Visual Hallucinations, Agitation, Insomnia",Psilocin,,51.5299,-0.1747
W073372,2026-02-03,NW8,2C-B,2C-B,Yellow,Tablet,Oral,"Euphoria, Increased Energy, Increased Confidence, Enhanced Senses, Visual Hallucinations, Nausea",2C-B,,51.5299,-0.1747
W073528,2026-02-06,LS6,magic mushroom,Not Stated,,Plant Matter,Not Stated,Not Stated,Psilocin,,53.8201,-1.5704
W073594,2026-02-06,TS01,2c-b,Not Stated,"Grey, Grey",Powder,Not Stated,Not Stated,2C-B,,,
W073527,2026-02-06,LS6,Magic mushroom,Not Stated,Grey,Capsule,Not Stated,Not Stated,Psilocin,,53.8201,-1.5704
W073595,2026-02-06,TS01,2c-b,Not Stated,Yellow,Tablet,Not Stated,Not Stated,2C-B,,,
W073957,2026-02-17,B99,mushrooms,Not Stated,Brown,,Oral,Not Stated,"4-HO-MET, Psilocin","Theobromine, Caffeine",52.4814,-1.8998
W073747,2026-02-20,WA12,4-Ho-met,4-ho-met,Brown,Powder,Not Stated,Not Stated,4-HO-MET,,53.45125,-2.6198
W074487,2026-02-27,DH7,LSD,300ug LSD,Colourless,Blotter paper,Oral,"Euphoria, Visual Hallucinations",Lysergic acid diethylamide,,54.78775789473684,-1.6808263157894736
W074425,2026-02-27,NP22,LSD,Not Stated,"Yellow, Blue",Blotter paper,Not Stated,Not Stated,Lysergic acid diethylamide,,51.7725,-3.2468
W074335,2026-02-27,CF24,LSD,Not Stated,Black,,Not Stated,Not Stated,Lysergic acid diethylamide,,51.48,-3.18
W074602,2026-03-09,DH1,LSD,Not Stated,"White, Black",,Not Stated,Not Stated,Lysergic acid diethylamide,,54.77482,-1.56714
W074571,2026-03-09,N16,LSD,"Gamma Goblin, Goblin Bomb","Green, Red",Blotter paper,Not Stated,Not Stated,Lysergic acid diethylamide,,51.5625,-0.074
W073921,2026-03-09,SA42,Magic mushroom chocolate,Wonker Bar,"Yellow, Brown",Solid,Oral,"Euphoria, Enhanced Senses, Empathy",Psilocin,,52.0168,-4.842714285714286
W074731,2026-03-10,HR12AT,LSD,Not Stated,Colourless,Solid,Not Stated,Not Stated,Lysergic acid diethylamide,,52.08174186046512,-2.612990697674419
W074795,2026-03-17,SW17,2C-B,2C-B,Brown,Powder,Oral,Not Stated,2C-B,,51.4307,-0.1647
