,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W100054,28/04/2026,CW9,valium,marin dow- a,Blue,Tablet,Not stated,"Not stated,  ",Diazepam,,53.264406666666666,-2.5003200000000003
W100020,28/04/2026,SR3,Diazepam,Accord Diazepam 5mg,Yellow,Tablet,Not stated,"Not stated,  ",Diazepam,,54.874233333333336,-1.4153666666666669
000232000,28/04/2026,SY16,Nitrazepam,Nitrazepam,White,Tablet,Oral,"Not stated,  ",Nitrazepam,,52.50787647058824,-3.3015823529411765
W100625,14/05/2026,W6,DIAZEPAM,BENSEDIN 10MG,White,Tablet,Not stated,"Relaxed, Memory loss",Diazepam,,51.49248333333333,-0.2204
W100699,14/05/2026,L10,DIAZEPAM,DIAZEPAM,Yellow,Tablet,Not stated,"Not stated,  ",Diazepam,,53.4754,-2.952
W100648,14/05/2026,EH6,DIAZEPAM,DIAZEPAM,Blue,Tablet,Not stated,"Not stated,  ",Diazepam,,55.9617,-3.1844
W100647,14/05/2026,EH6,DIAZEPAM,DIAZEPAM,Blue,Tablet,Not stated,"Not stated,  ",Diazepam,,55.9617,-3.1844
W100646,14/05/2026,EH6,DIAZEPAM,DIAZEPAM,Blue,Tablet,Not stated,"Not stated,  ",Diazepam,,55.9617,-3.1844
W100645,14/05/2026,EH6,DIAZEPAM,DIAZEPAM,Blue,Tablet,Not stated,"Not stated,  ",Diazepam,,55.9617,-3.1844
W100547,14/05/2026,EH6,DIAZEPAM,DIAZEPAM,Blue,Tablet,Not stated,"Not stated,  ",Diazepam,,55.9617,-3.1844
W100546,14/05/2026,EH6,DIAZEPAM,DIAZEPAM,White,Tablet,Not stated,"Not stated,  ",Diazepam,,55.9617,-3.1844
W100545,14/05/2026,EH6,DIAZEPAM,DIAZEPAM,Yellow,Tablet,Not stated,"Not stated,  ",Diazepam,,55.9617,-3.1844
W076264,14/05/2026,W6,XANAX,ALPRAZOLAM 1MG,Blue,Tablet,Oral,Relaxed,Alprazolam,,51.49248333333333,-0.2204
W100685,14/05/2026,WA10,ALPRAZ XR 2MG,ALPRAZOLAM,Yellow,Tablet,Oral,Loss of consciousness,Alprazolam,,53.45000000000001,-2.7583
W076265,14/05/2026,EH6,DIAZEPAM,DIAZEPAM,White,Tablet,Not stated,"Not stated,  ",Diazepam,,55.9617,-3.1844
W100720,14/05/2026,G82,DIAZEPAM,Not stated,White,Tablet,Not stated,"Not stated,  ",Diazepam,,55.954800000000006,-4.5815222222222225
W100717,14/05/2026,G82,DIAZEPAM,Not stated,White,Tablet,Oral,"Not stated,  ",Diazepam,,55.954800000000006,-4.5815222222222225
W100689,14/05/2026,G4,CLONAZEPAM,RIVOTRIL,White,Tablet,Not stated,"Not stated,  ",Clonazepam,,55.8651,-4.2576
W100732,14/05/2026,NN12,VALIUM 10MG,,White,Tablet,Not stated,"Not stated,  ",Diazepam,,52.12114285714286,-1.03124
W100552,14/05/2026,BH22,DIAZEPAM 10MG,BENSEDIN 10MG GALENIKA,White,Tablet,Not stated,"Not stated,  ",Diazepam,,50.798257142857146,-1.8945142857142856
W075963,14/05/2026,SK12,MARTIN DOW VALIUM,MARTIN DOW VALIUM,Blue,Tablet,Oral,"Euphoria, Increased confidence, Empathy",Diazepam,,53.351884210526315,-2.0920947368421055
W100557,13/05/2026,WA9,diazepam,Martin dow diazepam,White,Tablet,Not stated,"Not stated,  ",Diazepam,,53.426433333333335,-2.7348666666666666
W100621,13/05/2026,SY23,Diazepam,Diazepam,White,Tablet,Oral,Relaxed,Diazepam,,52.34458541666667,-3.9885
W100567,13/05/2026,GL12,diazepam,bensedin galenika,White,Tablet,Not stated,"Not stated,  ",Diazepam,,51.62172777777778,-2.3947055555555554
W076247,13/05/2026,CR4,Xanax / alprazolam,1mg ksalol xanax alprazolam,Blue,Tablet,Not stated,"Not stated,  ",Alprazolam,,51.3936,-0.163
W100592,13/05/2026,TD9,Diazepam,Accord diazepam 10mg,Blue,Tablet,Oral,No effect,Ethylbromazolam,,55.39354782608696,-2.707571739130435
W100537,11/05/2026,M14,diazepam,galenika bensedin (diazepam),White,Tablet,Not stated,"Not stated,  ",Diazepam,,53.4482,-2.2257
W100536,11/05/2026,M14,alprazolam,gelenika ksalol alprazolam,White,Tablet,Not stated,"Not stated,  ",Alprazolam,,53.4482,-2.2257
W100590,11/05/2026,TN16,Diazepam,Diazepam accord,Yellow,Tablet,Not stated,"Not stated,  ",Diazepam,,51.2871,0.0597833333333333
W100571,11/05/2026,Not stated,Valium,Not stated,White,Tablet,Not stated,Relaxed,Diazepam,,,
W100509,11/05/2026,FK9,valium,Not stated,White,Tablet,Oral,"Relaxed, Loss of consciousness",Diazepam,,56.1436875,-3.9315
W100588,11/05/2026,AB1,Clonazepam,Clonazepam,White,Tablet,Oral,"Euphoria, Relaxed",Clonazepam,,,
W100582,11/05/2026,AB1,Diazepam,Diazepam,Blue,Tablet,Oral,"Euphoria, Relaxed",Diazepam,,,
W100587,11/05/2026,AB1,Clonazepam,Clonazepam,White,Tablet,Oral,"Euphoria, Relaxed",Clonazepam,,,
W100538,11/05/2026,M14,Alprazolam,uptohn xanax alprazolam,Pink,Tablet,Not stated,"Not stated,  ",Alprazolam,,53.4482,-2.2257
W100581,11/05/2026,SA73,lorazepam 2mg,lorazepam tablets lora-2,White,Tablet,Not stated,"Not stated,  ",Lorazepam,,51.719835714285715,-4.983364285714286
W100450,11/05/2026,B24,Clonazepam 2mg,Not stated,White,Tablet,Not stated,"Not stated,  ",Clonazepam,,52.526349999999994,-1.809
W100382,07/05/2026,KY12,Diazepam,Diazepam,Blue,Tablet,Oral,"Relaxed, Confusion",Diazepam,,56.087095,-3.539235
W100359,07/05/2026,G15,diazepam,Not stated,White,Tablet,Not stated,"Not stated,  ",Diazepam,,55.9102,-4.3733
W100445,07/05/2026,PH2,Diazepam,valium martin dow,Blue,Tablet,Not stated,"Not stated,  ",Diazepam,,56.37225438596491,-3.356345614035088
W100344,07/05/2026,B22,Galenika ksalol 1mg,Galenika ksalol 1mg,Blue,Tablet,Not stated,"Not stated,  ",Alprazolam,,,
