,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W068728,18 Sep 2025,SW65,Accord 10mg Diazepam,Accord 10mg Diazepam,Blue,Tablet,Oral,Not Stated,Ethylbromazolam,,51.4803,-0.1993
W066235,18 Sep 2025,EH3,Diazepam,Not Stated,Blue,Tablet,Oral,Not Stated,Diazepam,,55.9521,-3.1965
W068658,15 Sep 2025,WV6,diazepam 5mg,Diazepam 5mg Accord,Yellow,Tablet,Not Stated,Not Stated,Diazepam,,52.59424545454545,-2.2206454545454544
W068914,15 Sep 2025,NG7,Clonazepam,Galenika rivotril,White,Tablet,Not Stated,Not Stated,Ethylbromazolam,,52.9536,-1.1505
W068659,15 Sep 2025,WV6,Diazepam 5mg,diazepam 4mg Accord,Yellow,Tablet,Not Stated,Not Stated,Diazepam,,52.59424545454545,-2.2206454545454544
W068941,15 Sep 2025,CR4,valium/Diazepam,Diazepam 10mg,"White, Pink",Tablet,Oral,Relaxed,"Bromazolam, Metonitazene",,51.3936,-0.163
W068808,15 Sep 2025,L13,Lorazepam tablet,LB hemofarm lorazepam,Blue,Tablet,Not Stated,Not Stated,Lorazepam,,53.4179,-2.9206
W068925,15 Sep 2025,BT47,alprazolam, Alprax 2mgs,White,Tablet,Not Stated,"Euphoria, Increased Confidence, Relaxed",Alprazolam,,54.94983333333333,-7.084177777777778
W068935,15 Sep 2025,WN5,Diazepam 10mg,Diazepam 10mg,Blue,Tablet,Not Stated,Not Stated,Etizolam,,53.497899999999994,-2.7081
W068894,15 Sep 2025,NR16,Accord 10mg diazepam,Accord 10mg diazepam,Blue,Tablet,Not Stated,Not Stated,Ethylbromazolam,,52.473336,1.032084
W068916,15 Sep 2025,TR2,valium 10g,Martin dow valium,Blue,Tablet,Not Stated,Not Stated,Diazepam,,50.22666071428572,-4.961603571428571
W068924,15 Sep 2025,EH22,Xanax,alprazolam,Blue,Tablet,Oral,"Euphoria, Increased Confidence, Relaxed, Memory Loss",Alprazolam,,55.90278333333333,-3.078175
