,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W073394,03 Feb 2026,N8,Alprazolam,Alprazolam,White,Tablet,Not Stated,Not Stated,Tramadol,,51.58336666666667,-0.1158333333333333
W073441,03 Feb 2026,NW1,Diazepam ,martin roche valium,Blue,Tablet,Not Stated,Not Stated,Diazepam,,51.52988181818182,-0.1471818181818182
W073410,03 Feb 2026,W84B,Lorazepam 2mg,Not Stated,White,Tablet,Not Stated,Not Stated,Lorazepam,,,
W073414,03 Feb 2026,SA1,Diazepam 10mg,diazepam 10mg,Blue,Tablet,Oral,"Increased Confidence, Relaxed, Chest Pains, Irregular Heartbeat",Diazepam,,51.633979999999994,-3.94848
W073374,03 Feb 2026,HU3,10mg Diazepam,Galenika Bensedin Diazepam,White,Tablet,Not Stated,Not Stated,Diazepam,,53.7446,-0.3353
W073415,03 Feb 2026,SA1,Lorazepam 2mg,Lorazpem 2mg,Blue,Tablet,Oral,"Empathy, Relaxed, Irregular Heartbeat, Confusion",Lorazepam,,51.633979999999994,-3.94848
W073416,03 Feb 2026,SA1,Alprazolam xanax 1mg,Alprazolam xanax 1mg,Blue,Tablet,Not Stated,"Euphoria, Auditory Hallucinations, Relaxed, Paranoia, Memory Loss",Alprazolam,,51.633979999999994,-3.94848
W073427,03 Feb 2026,E8,Diazepam,Diazepam,Blue,Tablet,Oral,"Increased Confidence, Enhanced Senses, Relaxed, Memory Loss, Confusion",Diazepam,,51.548,-0.0629
W073439,03 Feb 2026,NW1,Diazepam,Accord,Yellow,Tablet,Not Stated,Not Stated,Diazepam,,51.52988181818182,-0.1471818181818182
W072425,03 Feb 2026,IP15,Diazepam,Diazepam (martin dow),Blue,Tablet,Oral,Anxiety,Diazepam,,52.1526,1.6012
W073430,03 Feb 2026,TS12,Alprazolam 1mg,Alprazolam 1mg,White,Tablet,Oral,"Chest Pains, Irregular Heartbeat, Paranoia, Confusion, Panic Attack",Tramadol,,54.5516,-0.963011111111111
W073434,03 Feb 2026,CF30,Xanax 1mg,Alprazolam 1mg,White,Tablet,Oral,"Increased Confidence, Relaxed",Tramadol,,51.5196,-3.1196
W073379,03 Feb 2026,OL42,diazepam 10,diazepam 10,White,Tablet,Oral,"Euphoria, Increased Confidence, Relaxed, Memory Loss",Diazepam,,53.54999999999999,-2.0667
W073392,03 Feb 2026,SA15,Diazepam,Not Stated,Blue,Tablet,Oral,Loss of consciousness,Ethylbromazolam,,51.74003,-4.187250000000001
W073084,03 Feb 2026,CH5,Diazepam,Not Stated,Blue,Tablet,Oral,"Increased Confidence, Relaxed",Ethylbromazolam,,53.19930000000001,-3.03614
W072981,03 Feb 2026,SA1,Sedil valium,sedil,Yellow,Tablet,Oral,No Effect,Diazepam,,51.633979999999994,-3.94848
W073381,03 Feb 2026,OL42,Xanax 1mg,Alpzar 1mg,White,Tablet,Oral,"Euphoria, Relaxed, Memory Loss",Tramadol,,53.54999999999999,-2.0667
W073323,03 Feb 2026,DE22,Diazepam,Kade diazepam 10mg,White,Tablet,Not Stated,Not Stated,Diazepam,,52.9531,-1.521125
W073192,03 Feb 2026,SE3,Diazepam,Diazepam accord 10mg,Blue,Tablet,Not Stated,Not Stated,Diazepam,,51.46596666666667,0.0175
W073329,03 Feb 2026,NE6,diazepam,Martin dow valium,Blue,Tablet,Not Stated,Not Stated,Diazepam,,54.9775,-1.5656
W073330,03 Feb 2026,SW17,Diazepam,Bensedin (diazepam),White,Tablet,Not Stated,Not Stated,Diazepam,,51.4307,-0.1647
W073281,03 Feb 2026,BS40,Clonzaepam rivotril 2mg,Clonazepam ritotril 2mg,White,Tablet,Not Stated,Not Stated,Clonazepam,,51.3467,-2.6912
W073233,03 Feb 2026,LS6,Alprazolam,Aprax xr2,Yellow,Tablet,Oral,"Increased Confidence, Relaxed",Alprazolam,,53.8201,-1.5704
W073350,03 Feb 2026,DH1,Diazepam,Accord diazepam 5mg,Yellow,Tablet,Not Stated,Not Stated,Diazepam,,54.77482,-1.56714
W073367,03 Feb 2026,W7,Alprazolam,Alprazolam,"White, Yellow",Tablet,Not Stated,Not Stated,Alprazolam,,51.5118,-0.3358999999999999
W073393,03 Feb 2026,N8,Diazepam,Diazepam,White,Tablet,Not Stated,Not Stated,Bromazolam,,51.58336666666667,-0.1158333333333333
W072980,03 Feb 2026,SA1,valium,MSJ,Blue,,Not Stated,Not Stated,Ethylbromazolam,,51.633979999999994,-3.94848
W073382,03 Feb 2026,OL42,Xanax 1mg,Alpzar 1mg,White,Tablet,Oral,"Euphoria, Relaxed, Memory Loss","Chlorpheniramine, Diazepam",,53.54999999999999,-2.0667
000239603,03 Feb 2026,NP23,Valium,Not Stated,White,Tablet,Not Stated,Not Stated,Ethylbromazolam,,51.7771,-3.2079
000238824,03 Feb 2026,CF83,Suspected valium,Valium diazepam,Blue,,Oral,"No Effect, Relaxed, Breathlesness",Ethylbromazolam,,51.59288333333333,-3.2333833333333337
000238823,03 Feb 2026,CF83,Suspected valium,valium,Blue,Tablet,Not Stated,"Relaxed, Breathlesness, Chest Pains",Ethylbromazolam,,51.59288333333333,-3.2333833333333337
W073342,03 Feb 2026,PR4,Diazepam,Accord Diazepam,Blue,Tablet,Not Stated,Not Stated,Ethylbromazolam,,53.755025714285715,-2.8387542857142853
W073254,03 Feb 2026,N16,Diazepam,Not Stated,White,Tablet,Not Stated,Not Stated,Diazepam,,51.5625,-0.074
W073294,03 Feb 2026,BN3,Diazepam,Diazepam,Blue,Tablet,Oral,"Relaxed, Memory Loss",Diazepam,,50.836725,-0.179625
W073270,03 Feb 2026,PR4,Diazepam 10mg,Bensedin,"White, Purple",Tablet,Oral,"Euphoria, Relaxed, Breathlesness, Paranoia, Loss of consciousness, Agitation",No Active Component Identified,,53.755025714285715,-2.8387542857142853
W073271,03 Feb 2026,PR4,Diazepam 10mg,Diazpam 10mg,White,Tablet,Oral,"Euphoria, Relaxed",Ethylbromazolam,,53.755025714285715,-2.8387542857142853
W073274,03 Feb 2026,SK23,valium,diazepam,White,Tablet,Not Stated,Not Stated,Diazepam,,53.33156666666667,-1.9448333333333336
W073313,03 Feb 2026,E3,Xanax/ alprazolam,Not Stated,White,Tablet,Not Stated,Not Stated,"Bromazolam, Tramadol",,51.527657142857144,-0.0265714285714285
W073311,03 Feb 2026,E34,Valium diazpeam,Not Stated,Blue,Tablet,Not Stated,Not Stated,Ethylbromazolam,,,
